1.705    Acceleration: <-1.194, -1.908, 3.833>
1.721    Acceleration: <-1.194, -1.908, 3.833>
1.737    Acceleration: <-0.996, -2.534, 4.362>
1.754    Acceleration: <-1.002, -1.496, 4.492>
1.769    Acceleration: <-0.465, -1.556, 4.738>
1.784    Acceleration: <-0.420, -1.618, 4.612>
1.799    Acceleration: <-0.581, -1.037, 4.449>
1.814    Acceleration: <-1.500, 0.406, 4.342>
1.830    Acceleration: <-0.851, -3.323, 4.089>
1.847    Acceleration: <-1.410, -1.378, 3.079>
1.863    Acceleration: <-0.936, -1.800, 2.701>
1.879    Acceleration: <-0.504, -1.484, 1.676>
1.896    Acceleration: <-0.822, -1.587, 1.358>
1.911    Acceleration: <-1.884, -1.759, 0.843>
1.927    Acceleration: <-4.137, 0.114, -1.222>
1.944    Acceleration: <-1.855, -2.634, -0.862>
1.960    Acceleration: <-1.048, 0.036, -0.254>
1.976    Acceleration: <-0.704, 0.091, 0.450>
1.992    Acceleration: <-1.032, 0.313, 1.094>
2.009    Acceleration: <-1.903, 1.824, 0.734>
2.025    Acceleration: <-1.152, 0.856, 0.607>
2.041    Acceleration: <0.584, 2.087, 0.453>
2.057    Acceleration: <0.813, 3.713, 1.003>
2.073    Acceleration: <0.787, 3.554, 1.053>
2.090    Acceleration: <0.656, 4.386, 0.953>
2.106    Acceleration: <0.618, 6.031, -5.274>
2.122    Acceleration: <0.731, 5.679, -6.777>
2.139    Acceleration: <-0.306, 4.494, -8.711>
2.156    Acceleration: <-0.306, 4.494, -8.711>
2.171    Acceleration: <-0.261, 2.412, -8.333>
2.187    Acceleration: <-0.150, 0.928, -7.633>
2.203    Acceleration: <-0.039, 0.159, -7.532>
2.218    Acceleration: <0.061, -0.080, -7.171>
2.234    Acceleration: <0.731, -0.077, -4.783>
2.250    Acceleration: <1.083, 0.076, -2.831>
2.266    Acceleration: <1.013, 0.177, -2.095>
2.283    Acceleration: <0.794, 0.171, -1.442>
2.299    Acceleration: <0.721, 0.145, -0.861>
2.315    Acceleration: <0.181, 0.303, -0.033>
2.331    Acceleration: <0.180, 0.441, -0.085>
2.347    Acceleration: <0.381, 0.451, -0.087>
2.362    Acceleration: <0.616, 0.355, 0.078>
2.378    Acceleration: <0.656, 0.263, 0.197>
2.395    Acceleration: <0.206, -0.282, 0.463>
2.410    Acceleration: <-0.064, -0.431, 0.587>
2.426    Acceleration: <-0.303, -0.599, 0.712>
2.443    Acceleration: <-0.574, -0.725, 0.753>
2.459    Acceleration: <-0.500, -0.814, 0.630>
2.475    Acceleration: <-0.319, -0.776, 0.540>
2.492    Acceleration: <-0.019, -0.726, 0.022>
2.507    Acceleration: <0.010, -0.582, -0.174>
2.523    Acceleration: <0.142, -0.270, -0.618>
2.540    Acceleration: <0.202, -0.026, -0.837>
2.556    Acceleration: <0.412, 0.077, -0.902>
2.572    Acceleration: <0.771, 0.492, -1.187>
2.589    Acceleration: <1.070, 0.744, -1.342>
2.604    Acceleration: <1.620, 1.148, -1.801>
2.620    Acceleration: <1.716, 1.293, -2.530>
2.636    Acceleration: <1.174, 1.785, -4.747>
2.653    Acceleration: <0.721, 2.115, -6.098>
2.669    Acceleration: <0.420, 3.736, -7.584>
2.686    Acceleration: <0.678, 4.320, -7.194>
2.702    Acceleration: <0.678, 4.320, -7.194>
2.717    Acceleration: <0.515, 4.237, -5.565>
2.733    Acceleration: <0.280, 4.296, -4.634>
2.750    Acceleration: <-0.303, 4.375, -4.337>
2.766    Acceleration: <-0.807, 3.973, -3.831>
2.782    Acceleration: <-0.802, 1.936, -1.607>
2.798    Acceleration: <-1.416, 1.585, -0.295>
2.812    Acceleration: <-1.218, 1.499, 0.430>
2.828    Acceleration: <-1.696, 0.386, 0.041>
2.845    Acceleration: <-1.586, 0.046, -0.038>
2.860    Acceleration: <-1.108, -0.627, 0.505>
2.876    Acceleration: <-1.108, -0.627, 0.505>
2.893    Acceleration: <-0.787, -1.350, 2.875>
2.908    Acceleration: <-0.636, -1.458, 3.023>
2.924    Acceleration: <-0.595, -1.606, 4.200>
2.940    Acceleration: <-1.723, -2.587, 4.496>
